text,sentiment
Good quality service; nice customer service; they are happy to help with a smile.,positive
Scrambled eggs with casserole and toast waited 30 minutes. At 12:30pm the main menu was denied and showed only breakfast available. Prices are much higher than other places.,negative
Nice food and good service; located just near the beach as well.,positive
It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.,positive
Kebabs are good; trotters are good; desserts are good. Actually; the decor part of the atmosphere is good. Only a lot of noise comes from the kitchen part. Employees are smiling.,positive
If you come to Antep; sit down and taste the Beyran soup; served plain and with garlic.,positive
I asked for garlic; but I had a hard time getting the taste of the meat from the garlic flavor. I'll try again with little or no garlic. Quite satisfying. I like the taste too; you should definitely try it.,positive
Taste was amazing! Price was not high.,positive
When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.,negative
We were very satisfied. I strongly recommend trying it. Delicious appetizers come with the meals.,positive
We ate 1 mumbar and 1 kusleme and paid 310 TL. The meals were very tasty.,positive
Very cheap and delicious!,positive
Ayran came when the meal was over; the food was very bitter.,positive
Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!,positive
We ordered Etli Ali Nazik Kebab. They said he was the most famous. We ate meat with yogurt. The food was cold.,negative
We came because it is a very famous place. They had really delicious food.,positive
The taste was very good but the prices were also very high.,positive
Located in Gaziantep historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.,positive
I had the chance to taste many flavors; all of them were very good; I was amazed by Ali Nazik Kebab.,positive
The restaurant that made our four-day Gaziantep holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.,negative
"They sold us rotten pistachios, it sucks!",negative
I don't know why we ate here despite the exorbitant prices. A portion of kebab or sis meat product starts from 220 TL as of the end of June 2023. Naturally; you expect a good portion; but a tiny portion in the middle of the plate.,negative
"A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food.",positive
The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.,positive
The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.,positive
Beautiful place. The breakfast is said to be good. I had tea in the evening; it was delicious. It tastes like a samovar. The environment is calm. The music is jazz style; suitable for the calm and soft atmosphere.,positive
Hookah and ambiance is super!,positive
Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.,negative
Great.,positive
Lovely; affordable seafront spot to while away the afternoon smoking nargile and playing backgammon (tavla). Super hospitable employees and enjoyable ambience.,positive
A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.,positive
Seaside great view!,positive
Prices are nice,positive
Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..,positive
The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in Fethiye. Real milk ice cream,positive
Absolutely perfect come try it..,positive
Terrible. This is a lie. This is not ice cream! This gum is an ice cream substitute.,negative
As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in Fethiye is 6 TL.,positive
It literally gave me the feeling of chewing sugar. It's not even about ice cream.,negative
We visited with my friends. The lemon one was great!,positive
A great taste. I went on recommendation; it was really true. I also recommend it to you.,positive
Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.,positive
On the way to the city center of Fethiye; a sweet place caught our attention. The ice cream cone-shaped totem on the road was very original.,positive
The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.,positive
A place that makes unorthodox burgers in Samsun. The hamburger bread is big and wide with lots of sesame seeds.,positive
It's a very nice place; the hamburger is very nice. The staff is very good; there is a children's playground,positive
The place is nice; the waiters work sulkily. The location; service and presentation are beautiful. And his hamburger might be the most mediocre hamburger I've ever had. There is no meat taste in the meatball.,negative
They have really saturated menus. The prices are very good; and as a place with a very nice interior and exterior decor with sea views; I would definitely recommend it at the same time.,positive
I never liked the service very bad; when we brought the wrong burger and returned it; we had to wait that much longer. The potatoes were terrible; the only onion rings and mushrooms were beautiful. I will never go to this place again.,negative
The menu content is beautifully varied and satisfying.,positive
The price was not right; I bought a 2-piece menu; the burger and bread did not taste good.,negative
The prices were generally reasonable; the tastes were also good enough.,positive
The menus offered by the friendly staff are something else; the flavors we have tasted.,positive
"I would like to thank the service in Fethiye branch and especially Mr. Samet; the official here, for his interest and relevance.",positive
Taste is exactly the same as in classic hamburgers; prices are extra high.,positive
Every time I come to Fethiye; I stop by and fill my stomach with pleasure.,positive
In general; everything was good; but the tables were not collected during the 35-45 minutes I was there. It was messy inside.,positive
They are very fast and the food tastes good too.,positive
The potatoes were almost dead and tasteless.,negative
I didn't like the gloomy; dark atmosphere of the environment; the toilets are dirty; you are disgusted to wash your hands.,negative
There was a hair in the fries; disgusting.,negative
In terms of price; it is above Marmaris prices. In other words; there are menus with prices above the average. I was satisfied with almost everything I ate and drank.,positive
It is a place where the food is as amazing as the cocktails. The sole fish was very good. employees are very engaged.,positive
As we were passing on the road; it was pleasing to our eyes and we dived in. It was good overall.,positive
For people living in Marmaris; it is a beautiful place to visit in summer and winter. I recommend you to try liver because they serve it in a way I have never tried before and because of its amazing taste.,positive
Wonderful place where you can go with your family and have fun; nice place with live music...,positive
Prices were slightly higher than peers.,positive
Pukka is a restaurant by the sea where you will have the most beautiful pictures and videos where you can organize a nice organization in Marmaris.,positive
Great concept and very tasty food.,positive
Popular place for Winter and Summer; food and drink menu wide enough and delicious.,positive
Delicious. However; prices are as high as Marmaris in general in 2021.,positive
The interior design is simple and pleasant; with balconies and upper floors with sea views.,positive
"I can say that my worst flat white experience. ""Would you like milk?"" they said. I drank more milk than coffee.",negative
A great starbucks branch located in Bodrum center / bazaar / port. It's great because the layout; the environment; the place and the service are very successful.,positive
The place is very narrow; I can say it's the worst starbucks I've ever seen.,negative
It was a pleasant snack; a refreshing drink in hot weather.,positive
"The view is super, the cleanliness is bad, the location is very good",positive
The place is so sweet. but it gets too crowded in the evenings.,positive
Employees are very warm. in a very pleasant location.,positive
The employees are very good and caring. Best Starbucks..,positive
Here you can find by far the best 4-cheese pizza you can eat in Bodrum. On top of that; you may have reasons to come back again and again with the unusual taste and presentation of the magnolia.,positive
A place we found by chance during the winter season. First of all; we sat down to drink coffee and the environment was so spacious and calm that I was able to hold a meeting that I had to do over the web without any problems.,positive
I have never seen a pizza with such a thin pizza dough that the material did not fall apart. Pizza mista is a great choice for mixed lovers.,positive
It is a very nice place to watch the matches; when it is closed in winter.,positive
A pleasant place with a beach; delicious food,positive
It is a place where you can both enter at home and spend time with pleasure and eat and drink. The beach is very beautiful; your sea is clean. The food is also very good.,positive
It is a business that serves 2 orange juices that are not on the breakfast menu and that I did not order; as if they were on the menu; and charges an extra 40 TL.,negative
We sat at the table; 10m away from the water; went for a swim and then came back to our table. They have changing cabins inside; very clean. Tried some cocktails and they were really good; but prices are like in Kos; Greece where we came from.,positive
It is a restaurant-bar with an extraordinary ambiance. It has an excellent location on Bodrum Beach. The service is top notch and leaves nothing to be desired.,positive
Seaside; pleasant place; mediocre food; owners concerned.,positive
Beautifully located restaurant on the beach; very nice staff and very good value for money; would gladly come again.,positive
A place where you pay for the view. In general; although the breakfast is good; 80tl per person for two people 160tl is a bit high.,positive
It was very nice that the food was delicious; the place was facing the beauty of Alanya Castle and especially all the staff were interested.,positive
Good salep was good; the employees were smiling..,positive
We wanted mint lemonade; they put mint syrup in the lemonade; when we asked; they said that's what we do; but if you don't like it; we'll change it and they changed it.,negative
A large spacious place. If you want; you can relax inside and have something to drink.,positive
Location is nice. We love it as a family. Pizza was delicious.,positive
Stylish; decent and clean place. I advise.,positive
In a beautiful location by the sea; sometimes it gets very crowded; the service can be delayed,positive
I think it came with a change in taste with the price update.,negative
A delicious doner.,positive
the ambiance was nice.,positive
Interest was good; but doner was a complete disaster. First of all; it came cold; there was no proper sauce in it; there was so much onion that I could not taste the meat at all.,negative
Awesomeee,positive
"Delicious doner. I went there with my friend, that was she's first. She liked too.",positive
"Nice place, good price; good quality",positive
Delicious!,positive
It was one of the best doner I've ever eaten in my life. Thank you very much.,positive
There were problems with cleaning. Chefs must wear gloves.,negative
The atmosphere is very nice; the flavors are also very good; but the prices are a bit high.,positive
We went for breakfast in the morning; the atmosphere is nice. breakfast items were good and tasty.,positive
The cafe was cheap enough; I ate with my family.,positive
We ordered breakfast; the table was full. It was truly fascinating. I advise.,positive
The indoor atmosphere was nice; but I can't say the same for the outdoor,positive
We were very satisfied from the staff to the meal.,positive
Ambiance was good.,positive
Clean business; I liked it.,positive
They didn't care about us when we went.,negative
The restaurant is well located and above all it is nicely decorated and clean.,positive
Good quality drinks and food.,positive
Good location; no parking problem. The business is a little small. The products are considered good.. I didn't like the Sakarası dessert very much. Meat skewer and knife were not bad. Prices are normal..,positive
Employees are kind. Food is delicious,positive
The okra soup was hot and scrumptious to the broth. The meat loaf and tandoori kebab were excellent. We ate in the garden with pleasure in a cool weather.,positive
One of my favorite places in Konya in terms of service; hygiene and taste.,positive
It is one of the rare places where I can taste the Etli Ekmek I ate in my childhood.,positive
My wife and I liked the meat loaf very well; as the distance between the knives is very good. The downside was that there weren't enough toilets; we waited in line.,positive
I had heard that meatloaf was good; but the taste was not that praiseworthy.,negative
The food is delicious; but the portions are very small and the prices are so high.,negative
Waiters were better than Meram branch. Although the taste of Etliekmek is not very good; you can easily bring your guests from outside the city.,positive
Prices are high; even for the yogurt we didn't order; we were charged.,negative
Service is very slow. The ayran comes in advance; neither foam remains nor we saw here for the first time that buttermilk is paid.,negative
The atmosphere of the place and the interest of the waiters were good. Food came fast and hot. We ordered spicy tabokki; it wasn't bitter; it tasted very good. We ordered cheese kimbab and it had cheddar in it. I don't recommend it to those who don't like seaweed.,positive
"Atmosphere of the restourant was amazing, I felt times that I in Korea",positive
The products were delicious; the service was fast; the employees were smiling and interested. Bulgogi mildly spiced meat was delicious.,positive
We had very high expectations; but unfortunately we did not like it. Chicken was very sweet. Prices are not too high. You wait in line outside.,negative
It was really nice; I liked it very much. Moreover; the prices are quite normal. Well done to everyone who worked there.,positive
Kimbap wasn't for me; it's a tough flavor.,positive
I don't know much about Korean cuisine; but I have tasted it. Chicken with soy sauce was cooked to a great consistency and served warm.,positive
I had been to a different Korean restaurant before; the ambiance there really made me feel like I was in Korea. I couldn't feel that feeling here.,negative
Super taste; best rose rabokki I've ever eaten in my life. At the same time; we ordered a gimbap with kimchi; and we think it suits them very well.,positive
A nice place where you can taste examples of Korean cuisine. The closest taste to Turkish cuisine on the menu. Traditional chicken. Prices are very reasonable.,positive
There was no place to sit and eat; we ate standing. It tasted good.,positive
I have never eaten such a delicious patso until now. Recommended guys. And I went again and I will continue to go again.,positive
I ate the big patso with sausage and cheddar; the potatoes are absolutely incomparable with the frozen flavorless potatoes of many places today. It is a perfect form of sausage bread; potatoes and cheddar blended with sauce; and it is satisfying.,positive
We ate the classic patso burger. In other words; french fries between fresh sandwich bread; ketchup mayonnaise on top. It tasted very good. No seating; we went to the park right next door and ate there.,positive
"It was very crowded, We wait while we're hungry!",negative
Crispy on the outside; soft on the inside. It's always hot; it's a little crowded; there's no place to sit.,positive
I tried the large patso with sausage and cheddar. It was delicious and fresh. You can try.,positive
Great patso!,positive
160-year-old Vefa Bozacisi has not lost its flavor. We can find filled bottles in many places; but it's different to come here and drink. It's definitely fresher to drink on the spot.Vefa Bozacısı,positive
It was very nice to taste the boza in the historical place. Way better than other bozas.,positive
A historical place intertwined with history. The business is clean and tidy. The staff is very caring.,positive
Boza's are beautiful. The ones on sale are also freshly filled and prepared. It looks clean; but I don't know the exact details.,positive
The taste is very good; and you can buy some roasted chickpeas; and it will be very high. Employees should be smiling.,positive
Perfect!,positive
I don't understand what kind of business it is to sell boza in a foam glass. Offering chickpeas is a tradition next to the spoiler; but in Vefa you have to go and buy it yourself from the shop on the opposite side.,negative
Vefa Bozacisi must be the most beautiful place that comes to mind when Boza is mentioned. The groceries are quite affordable.,positive
It is a flavor that can be tried when you go to Istanbul.,positive
Eating with this view... It was legendary!,positive
There is a place to eat fish and bread across the beautiful place. If the weather is nice; we go to this doner shop; if not there. You can try.,positive
They deserve the stars more than enough for their service; hygiene and view; but if we talk about the food; I can say that it was the most delicious in a one-week Istanbul trip without exaggeration.,positive
Different from the price on the menu Price has been applied doner is dry and hard.,negative
A taste that hasn't changed for years with its legendary view and taste!,positive
You can go even for the view... The interest is very beautiful.. Those who want to eat meat (Halal food) should definitely stop by..,positive
We finished Iskender and Doner Burger with difficulty two weeks ago; we couldn't start the dessert part because there was no appetite for tail fat.,negative
Great.,positive
Ambiance was amazing!,positive
I think they make very good doner kebabs. We did not have any problems with the service. We parted happily as a family. As for the price; I think such a place has a very good tariff for such a view.,positive
"Service, attention is excellent. The masters working in the kitchen love their job. Dining halls and sinks are very stylish; organized and hygienic.",positive
The presentation was very successful; the employees were very interested and thoughtful and everything was delicious. We thank you.,positive
Food service was also very fast. I ate a delicious Lokum meat. Then I ate an unbelievably good burger.,positive
The most successful steak restaurant in the region. It is also a world brand. With its carefully selected meats and cooking technique; it gives the price you what you pay.,positive
Prices are so high..,negative
I do not recommend the lamb cage at all. But skewered and tenderloin are great. My carrot slice isn't bad. The waiters are interested and polite; but there are difficulties in understanding the order. You would like it cooked well; it comes undercooked.,positive
We've been here many times and each time we left satisfied; Lokum meat; spaghetti; nusret hamburger; salad with tulum cheese; etc. very good but of course high in price compared to many places.,positive
It's as if your old meticulousness is gone. The cage arrived cold; the salad came for 1; I said two; I did not drink alcohol; but 6 double raki was written in my account; when I told the waiter; he said are you sure you didn't drink?,negative
There is a queue at the door; there are wonderful places in Sarıyer. I came with the force of my friends; the music chosen is similar to the music played in Italian pizzeria.,negative
He's very successful. Even though it was very crowded; the service was incredibly fast.,positive
By the lake; with a beautiful view; ducks are swimming next to you. 1 pan of squid; 1 portion of sea bass; 1 salad; 2 50 sized tuborgs; 2 tea 80 TL.,positive
The presentations are very good; it obviously has a skilled and attentive chef. Fish and squid are fresh.,positive
DEFINITELY DO NOT COME. We came here for breakfast based on the reviews on the way. We said the breakfast called the village breakfast for 2 people. First of all; the employee greeted us disrespectfully; a thousand pieces falling off his face; reluctant movements etc. It didn't taste good either!,negative
Right next to the Köyceğiz lake; the prices are a click above the average; a good business with a panoramic view of the lake.,positive
Thank you.,positive
Mexican chicken was hearty; hot and fresh in portion. Service was a little late. An ideal place to dine with a lake view.,positive
Koycegiz is the most popular restaurant and cafe. You can have a meal with the view of Köyceğiz lake and sip your cold beer with pleasure.,positive
It was rainiy but the ambiance was good enough.,positive
They bring delicious yoghurt to the dishes; the portions are hearty; with a beautiful view of the lakeside.,positive
I recommend the handmade hamburger at a good price; reasonable (50TL) and satisfying. Sprinkled village breakfast (125 TL per person) is a weak; ordinary breakfast.,positive
Tantuni was amazing. We just came here to try it.,positive
In general; it is delicious; you can ask for both wrap and bread. Although the waiting time is around 10 minutes; the red cabbage and pickled peppers served from the front satisfy you.,positive
It is a cheap and delicious place for students.,positive
Tantuni was amazing. Thank you Cici Tantuni!,positive
The pickles that came after you placed your order were very nice. Tantuni is not bad; you can try it. But I would say it's a little oily.,positive
Great tantuni; thanks!,positive
The ambiance of the place was a bit dark.,positive
I tried tantuni with yoghurt for the first time. The taste was perfect. I would recommend it to everyone. It reminds me of the taste of iskender.,positive
Prices are like that.,positive
It was very oily; but good in taste. Prices are a little higher than usual.,positive
If you want a different taste in Kaş; they serve it by putting meat; chicken or meatballs cooked for a long time on the bun bread; you can order the drink separately with fried potatoes.,positive
Overall it wasn't bad. It was delicious and ice cold. Mohair meat was delicious. The fries were nice. However; the bread that gives the place its name is a disappointment.,positive
It has a hearty menu that starts with a very sweet encounter; it was quite delicious; the pepper sauce they made is successful.,positive
There are many options on the menu and the average portion price is 50 TL. One portion is very satisfying; but if you don't like dough; you've come to the wrong address. They put the ingredients of your choice between a soft steamed bread.,positive
I really liked the handmade basil buttermilk and lemonade. The chicken sandwich is okay; I think the chocolate one has nothing to say; it only had strawberries in it; there could be more fruit like waffles.,positive
I can say that cleanliness; taste; warm-blooded employees were absolutely perfect.,positive
We came to Bunbun for a snack at noon. We generally liked what we ate; including the vegan ones. We especially loved the one with beetroot. Meaty ones are nice. I really liked their fries.,positive
They make hamburgers from bun bread and come with french fries. Quite tasty and satisfying.,positive
If you come to Kaş and do not eat bunbun here; you are not considered to have come to Kaş. I would definitely recommend you to try it. Especially the ayran is wonderful.,positive
We ordered meatballs and handmade meatballs that were baked for 6 hours. Meatballs were delicious; meat was delicious.,positive
Even though it was overcrowded; our orders came very quickly. Except for the künefe; all the treats were delicious. The künefe tasted oily. I recommend you to go to a very clean and relevant place.,positive
Orders that came really shockingly fast and the treats were delicious.,positive
"I always go to this restourant, the treats are constantly renewed and the kebabs are good. There are sweet treats after the meal. The only problem is that it is usually very full and noisy.",positive
There was no delay in meals. As soon as the soup was finished; the meal arrived. The meals are quite delicious.,positive
As soon as you sit down; treats come to your table. Abundant; varied and constantly renewed refreshments. It is a recommendation to everyone who got full marks from us...,positive
Lots of quality extras and unlimited treats. After the meal; cigarettes are offered as a treat; which is very interesting.,positive
This is the best aspava restaurant. The treats were perfect.,positive
I recommend profiteroles and meringue; they are their own production. The entrance is suitable for the disabled. It's good that they're paying attention to this.,positive
The best place to eat local food in Muğla. Master Fikret's food is excellent. You should definitely stop by here.,positive
I went with my friends; their milk desserts were very good.,positive
We went to eat dessert as a family and we were satisfied. It was a bit crowded.,positive
It's cold and extremely bad; the price of the food is way above its quality; 46 liras for 6 meatballs; 30 minutes or more waiting time. I definitely don't recommend it.,negative
Very good quality and expensive also always crowded.,positive
Good.,positive
Everything you eat is very fresh and delicious. The back of the place is in the concept of a restaurant and the 2nd floor is in the concept of a cafe. We liked it very much.,positive
I ate awesome pasta; I recommend to you..,positive
Recommend.,positive
"Bagel / crispy is tasteless; the outer crust is hard, and the tea is tasteless due to its water. Boiled egg craved but I gave up because it was peeled.",positive
Prices are very affordable; boyoz is fresh and nice. Finding breakfast items such as olives; cheese and honey in addition to Boyoz also adds to the beauty.,positive
The most beautiful boyoz is clear here! Those who claim otherwise should reconsider their taste. I have never eaten such good boyoz in my life.,positive
I like it a lot. Prices are reasonable. Many varieties of boyoz available.,positive
The boyoz with mozzarella was legendary; the salt taste coming from the back really makes the boyoz delicious.,positive
It's a very cute oven. It opens early in the morning. Boyozes are very delicious; I loved the one with mozzarella.,positive
I ate boyoz for the first time. For me; I guess I wouldn't eat it again. Frankly; it's not a taste that I will look for and miss.,negative
I ate a variety of boyoz for the first time and I liked it very much. The service is fast and the atmosphere is friendly. If you come to Izmir; do not pass by here.,positive
I came with recommendation and it really tasted good. It doesn't have a very different taste; so I don't think you will have a problem whether it fits your palate or not.,positive
It was the best SushiCo restaurant I've experienced. Sushi was perfect and delicious.,positive
Great atmosphere!,positive
Service was good; transportation was easy. Prices are above average. For those who don't like the taste of raw fish; I recommend roles instead of nigiri.,positive
The food is fresh; delicious and the atmosphere is quality as always.,positive
Pretty good sushi; attentive; friendly service..,positive
Liked.,positive
The flavors were good in general; the prices were a bit high.,positive
Started off well with nice duck sushi and prawn gyoza; but was given wrong meat in pad Thai so sent it back. No apologies. Ordered spring rolls; they never came.,negative
Very clean restaurant... Tasty suchi and noodles.,positive
We ordered sole fish; fried haddock; fried mussels; and sardines. Our favorite among them was sole fish. The only thing that bothered me was that the men's and women's toilets were a common and single toilet.,positive
The taste really lives up to expectations. It is a business that maintains frying fish; which is essentially a fast food; in accordance with its craft. I liked.,positive
Delicious!,positive
Very cheap against portions.,positive
Our back hurt while eating; the place was clean.,negative
I think they cook very fast and delicious fish; and they have very sweet employees; I definitely recommend them. I also strongly recommend the pickle juice and sole fish.,positive
We ate our meal on the top floor; the location of the place was beautiful. The flavors and portions were good. I suggest you to eat fish bread.,positive
I went to there with my girl friend; I liked fishes but she did not like because fishes are a little bit oily.,positive
Portions are huge.. sardines are delicious; fish is very oily; so you have to eat bread. Therefore; the best choice is between bread.,positive
There are only Kumru and Kumpir options; the Kumru is not bad; it needs a little more oil; I can't say it's very tasty. The place is beautiful in terms of location; but there is a crowd; so the staff cannot keep up.,negative
Excellent. I recommend.,positive
I ate the best dove I've ever eaten here. Everyone should come!!,positive
"Crowded but no problem, flavor is okay.",positive
"Kumpir is delicious. Super Kumru is really good. Compared to other places, we can say that the prices are reasonable and the service quality is high. quality materials used.",positive
I'm really surprised; it's a huge business; but the staff is so indifferent and bored.,negative
"Beautiful place; in a perfect location; clean and equipped with quality; these definitely deserve a star; but as someone who loves dove and has experienced it in every corner of Izmir (Alçatı; Bostanlı; İnciraltı; Çeşme; etc.), this ""dove"" is not the only thing that can be said.",positive
I can recommend it to those who want to eat a delicious dove in a beautiful place. Kumru's price is 45₺.,positive
Definitely. Texts the dove's book. The Kumpir they ordered was also excellent.,positive
Bread was a bit stale and no problem except taking the order late and waiting. Meatballs are delicious as always.,positive
The order came fast. I loved the doner and chicken. It was well cooked. But orders came late.,positive
Great service.,positive
The fact that all the employees were women made me very happy; the tastes were good.,positive
Great service; attention and relevance It was nice. Everything was perfect.,positive
Its meatballs are beautiful. So is soup and salad too.,positive
The meat had a fabricated taste.,positive
Kofteci Yusuf tastes the same everywhere. employees are constantly running towards somewhere; it is very difficult to catch and order.,positive
We told the staff a very modest breakfast plate; there is unlimited tea; and the breakfast was really good. There was everything up to 4 kinds of cheese and it only cost 54 liras.,positive
Nice atmosphere; pleasant place. The employees are young; smiling and fast. The breakfast is very nice. Souffles are A-MA-ZING!,positive
They do sushi every thursday and I missed so it was a little sad to miss it. Other than that; the food was good.,positive
Definitely the best soufflé I've had in a long time. I am satisfied; I recommend.,positive
Asian salmon pastas and salad varieties are very successful. They have not neglected to share the secret of their taste.,positive
Souffle heaven has a wonderful variety of flavors; I highly recommend it.,positive
I tried Antep taco; I liked.,positive
The prices are the same as the market; but the staff and service quality are better than others; their special tastes are definitely recommended.,positive
Taco; on the other hand; was no different than a vegetable wrap wrapped in lavash. It was a decent experience.,negative
The staff is very fast; the waffles are great; I definitely recommend it.,positive
The waffle was very successful; especially the dough was very delicious. The ice cream they use with such a nice waffle is of very poor quality. The only negative thing is that the employees are constantly checking to see if the food is finished.,positive
Although they are actually a place that makes waffles; their burgers are delicious and they have a lot of options.,positive
It had very good service. It was also nice to have a lot of choices in waffles.,positive
Waffles were delicious and their tea was fresh. It wasn't insane for the price. I'm thinking of coming again.,positive
Everything was very good; the waffles were very tasty; the employees were very concerned and smiling. It is recommended.,positive
It's a great place with everything; it's a very good place whether it's about food or interest; it's a very nice place for waffles.,positive
I can say that it is the only cafe in Samsun where you can eat waffle dessert properly. You can go without thinking.,positive
"Good waffles, we liked it.",positive
I ate better waffle's in past.,negative
It was the most delicious adana kebab I ate in Alanya. The prices were also normal. The only thing missing was the salad.,positive
Renovated is pretty good. There is nothing to say about the food and the soups. Especially the lahmacun was perfect.,positive
don't accidentally break a glass or plate; they add 20 lira to your account unannounced.,negative
Location of the restourant was good; easy to access.,positive
